Date,City,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
2020-03-11,Aizawl,32.69,47.91,6.99,2.85,11.93,26.64,0.6,4.53,4.48,0.03,0.3,,52.0,
2020-03-12,Aizawl,31.21,38.66,7.2,1.27,10.65,25.63,0.56,4.22,2.81,0.01,0.08,,52.0,Satisfactory
2020-03-13,Aizawl,38.39,46.68,7.19,0.91,10.37,29.16,0.57,4.46,0.18,0.0,0.0,,60.0,Satisfactory
2020-03-14,Aizawl,43.23,50.83,7.14,1.07,10.48,28.95,0.57,4.53,0.41,0.0,0.0,,62.0,Satisfactory
2020-03-15,Aizawl,33.82,41.03,7.09,0.36,9.73,28.41,0.48,4.63,0.3,0.0,0.0,,70.0,Satisfactory
2020-03-16,Aizawl,27.14,35.04,5.63,2.32,8.09,23.98,0.5,4.71,13.02,0.13,0.68,,54.0,Satisfactory
2020-03-17,Aizawl,27.32,35.75,3.07,2.14,3.41,24.57,0.48,4.84,6.03,0.25,1.34,,40.0,Good
2020-03-18,Aizawl,31.76,41.51,3.0,1.48,5.24,23.42,0.47,5.04,8.76,0.24,1.19,,51.0,Satisfactory
2020-03-19,Aizawl,43.8,53.59,2.97,1.31,4.97,23.41,0.48,5.3,9.96,0.26,1.11,,63.0,Satisfactory
2020-03-20,Aizawl,35.48,44.02,3.01,0.83,4.64,24.85,0.49,5.32,6.43,0.27,1.15,,69.0,Satisfactory
2020-03-21,Aizawl,51.27,60.05,3.01,0.88,4.62,24.44,0.49,5.63,8.62,49.66,50.11,,70.0,Satisfactory
2020-03-22,Aizawl,33.24,40.33,2.93,0.13,3.65,18.55,0.37,5.41,5.64,13.07,13.69,,71.0,Satisfactory
2020-03-23,Aizawl,35.34,41.55,2.98,0.16,3.71,20.24,0.32,5.63,5.73,62.93,62.45,,53.0,Satisfactory
2020-03-24,Aizawl,47.34,56.65,2.96,0.14,3.66,20.21,0.37,6.17,5.59,0.33,0.33,,66.0,Satisfactory
2020-03-25,Aizawl,53.64,62.86,2.96,0.17,3.77,25.43,0.44,6.75,6.44,0.23,0.84,,92.0,Satisfactory
2020-03-26,Aizawl,54.9,62.7,2.96,0.13,3.69,25.48,0.42,6.8,5.87,0.25,0.92,,89.0,Satisfactory
2020-03-27,Aizawl,44.64,53.86,2.94,0.11,3.59,28.26,0.4,7.34,6.42,0.22,0.82,,82.0,Satisfactory
2020-03-28,Aizawl,51.33,60.03,2.92,0.35,3.89,29.89,0.44,7.69,8.76,0.23,0.66,,71.0,Satisfactory
2020-03-29,Aizawl,34.54,41.95,2.93,0.13,3.64,28.47,0.36,7.8,7.99,0.19,0.6,,81.0,Satisfactory
2020-03-30,Aizawl,39.47,48.07,2.93,0.24,3.79,29.05,0.42,7.67,7.4,0.19,0.73,,60.0,Satisfactory
2020-03-31,Aizawl,27.27,33.9,2.95,0.25,3.8,30.99,0.4,7.9,6.74,0.18,0.8,,51.0,Satisfactory
2020-04-01,Aizawl,38.6,49.19,2.98,0.26,3.94,32.95,0.45,8.11,6.12,36.6,37.17,,62.0,Satisfactory
2020-04-02,Aizawl,36.22,48.66,2.93,0.25,3.86,32.94,0.4,8.36,9.24,0.15,0.55,,64.0,Satisfactory
2020-04-03,Aizawl,30.35,39.84,2.9,0.21,3.75,23.37,0.29,8.25,10.87,0.08,0.47,,54.0,Satisfactory
2020-04-04,Aizawl,24.05,41.95,2.97,0.25,3.79,21.6,0.26,8.16,11.09,0.08,0.42,,43.0,Good
2020-04-05,Aizawl,26.47,33.51,2.96,0.08,3.5,26.0,0.31,8.79,5.76,10.03,10.52,,44.0,Good
2020-04-06,Aizawl,35.13,43.65,2.96,0.15,3.69,25.1,0.31,8.49,7.94,0.12,0.52,,48.0,Good
2020-04-07,Aizawl,33.19,42.17,2.92,0.3,3.85,22.71,0.3,8.78,13.38,0.12,0.38,,61.0,Satisfactory
2020-04-08,Aizawl,24.92,31.74,2.97,0.18,3.74,23.73,0.27,8.69,9.67,0.08,0.41,,45.0,Good
2020-04-09,Aizawl,39.15,45.79,3.32,0.31,4.47,22.95,0.39,7.81,7.66,6.27,6.66,,59.0,Satisfactory
2020-04-10,Aizawl,38.01,45.39,4.41,0.13,5.7,27.97,0.41,4.52,5.62,0.16,0.7,,64.0,Satisfactory
2020-04-11,Aizawl,30.06,35.53,4.37,0.17,5.74,30.0,0.37,4.77,6.71,0.15,0.71,,55.0,Satisfactory
2020-04-12,Aizawl,21.7,27.32,4.33,0.12,5.6,26.24,0.27,4.54,8.47,8.27,8.6,,41.0,Good
2020-04-13,Aizawl,28.33,33.24,6.24,0.39,8.44,28.53,0.36,5.3,10.16,0.12,0.57,,42.0,Good
2020-04-14,Aizawl,46.26,49.81,10.26,0.45,14.04,31.28,0.47,5.66,2.97,29.29,29.74,,64.0,Satisfactory
2020-04-15,Aizawl,40.72,48.87,11.4,0.51,15.65,30.38,0.42,5.71,0.72,1.55,2.05,,76.0,Satisfactory
2020-04-16,Aizawl,22.63,28.06,11.4,0.33,15.49,23.59,0.28,5.52,0.79,4.18,4.62,,49.0,Good
2020-04-17,Aizawl,15.06,19.85,11.4,0.36,15.51,14.87,0.22,5.43,2.46,0.05,0.35,,33.0,Good
2020-04-18,Aizawl,19.5,25.12,11.44,0.25,15.38,17.65,0.25,6.06,1.17,0.05,0.31,,31.0,Good
2020-04-19,Aizawl,10.48,14.73,11.44,0.11,15.2,19.03,0.22,6.4,1.27,0.03,0.33,,24.0,Good
2020-04-20,Aizawl,11.79,18.9,11.47,0.95,16.08,19.13,0.25,6.79,8.71,1.02,1.41,,24.0,Good
2020-04-21,Aizawl,9.53,20.94,11.54,0.75,15.94,16.64,0.27,6.62,7.67,10.19,10.54,,23.0,Good
2020-04-22,Aizawl,8.53,11.26,11.47,0.34,15.48,15.61,0.24,6.61,1.3,0.05,0.45,,20.0,Good
2020-04-23,Aizawl,10.42,14.56,11.56,0.26,15.49,16.78,0.26,6.96,1.75,0.06,0.49,,19.0,Good
2020-04-24,Aizawl,5.74,9.67,11.53,0.34,15.57,12.4,0.21,6.79,1.16,0.03,0.31,,19.0,Good
2020-04-25,Aizawl,3.14,5.83,11.51,0.2,14.68,17.91,0.18,7.47,0.55,7.73,8.0,,19.0,Good
2020-04-26,Aizawl,1.97,4.06,11.54,0.13,15.25,12.44,0.18,6.98,1.78,6.7,6.95,,18.0,Good
2020-04-27,Aizawl,5.4,9.88,11.62,0.27,15.57,17.69,0.25,7.21,0.22,8.33,8.74,,19.0,Good
2020-04-28,Aizawl,3.55,7.84,11.7,0.18,15.6,17.07,0.26,6.97,,6.89,7.42,,19.0,Good
2020-04-29,Aizawl,3.85,6.78,11.6,0.17,15.4,15.28,0.21,7.23,,13.67,14.03,,19.0,Good
2020-04-30,Aizawl,4.49,8.9,11.7,0.3,15.65,14.49,0.24,6.6,1.55,20.86,21.42,,19.0,Good
2020-05-01,Aizawl,7.92,12.97,11.68,0.35,15.71,18.21,0.3,6.47,1.61,0.06,0.76,,20.0,Good
2020-05-02,Aizawl,8.24,13.13,11.6,0.23,15.48,16.69,0.28,6.46,0.1,10.3,10.91,,20.0,Good
2020-05-03,Aizawl,5.48,9.88,11.53,0.08,15.15,14.56,0.19,6.42,0.07,16.64,17.0,,19.0,Good
2020-05-04,Aizawl,6.32,11.92,11.56,0.22,15.43,15.74,0.23,6.93,0.41,22.57,22.98,,19.0,Good
2020-05-05,Aizawl,10.16,14.63,11.58,0.25,15.58,18.64,0.27,7.6,0.12,6.11,6.56,,19.0,Good
2020-05-06,Aizawl,6.15,8.99,13.16,0.63,16.56,15.26,0.24,7.36,2.82,3.21,3.68,,20.0,Good
2020-05-07,Aizawl,3.93,6.85,11.51,0.18,15.43,19.43,0.27,8.04,0.19,10.76,11.43,,20.0,Good
2020-05-08,Aizawl,13.61,17.4,11.52,0.49,15.75,22.37,0.32,8.51,2.66,22.22,22.76,,20.0,Good
2020-05-09,Aizawl,13.29,19.14,11.54,0.34,15.65,27.89,0.37,8.6,0.24,0.07,1.0,,24.0,Good
2020-05-10,Aizawl,16.09,20.04,11.47,0.09,15.21,32.66,0.31,8.61,0.06,0.06,0.82,,24.0,Good
2020-05-11,Aizawl,25.35,31.71,11.55,0.69,15.98,29.77,0.39,8.87,7.63,12.22,13.15,,35.0,Good
2020-05-12,Aizawl,27.97,33.56,11.51,0.44,15.73,29.94,0.42,8.91,0.18,0.12,1.04,,46.0,Good
2020-05-13,Aizawl,23.72,28.88,11.51,0.6,15.86,21.17,0.37,8.41,1.74,5.14,5.68,,46.0,Good
2020-05-14,Aizawl,21.05,24.86,11.46,0.65,15.85,23.68,0.32,9.08,7.27,8.15,8.56,,33.0,Good
2020-05-15,Aizawl,14.82,19.67,11.65,0.35,15.83,23.19,0.31,9.06,0.05,10.0,10.96,,31.0,Good
2020-05-16,Aizawl,8.3,12.62,11.6,0.29,15.67,22.47,0.27,9.19,,14.93,15.51,,21.0,Good
2020-05-17,Aizawl,12.42,18.0,11.49,0.12,15.26,25.82,0.23,9.84,0.04,,,,20.0,Good
2020-05-18,Aizawl,17.92,25.29,11.55,0.56,15.89,28.94,0.38,10.05,4.03,39.79,40.5,,26.0,Good
2020-05-19,Aizawl,18.83,24.52,11.59,0.48,15.9,25.16,0.36,9.84,1.16,13.31,13.96,,32.0,Good
2020-05-20,Aizawl,6.53,10.27,11.81,0.51,16.12,17.62,0.31,9.81,0.44,3.61,3.97,,24.0,Good
2020-05-21,Aizawl,8.97,14.44,11.41,0.34,15.53,13.24,0.21,10.1,2.88,0.02,0.22,,20.0,Good
2020-05-22,Aizawl,14.67,19.13,11.48,0.36,15.59,11.35,0.25,9.92,1.07,0.02,0.3,,22.0,Good
2020-05-23,Aizawl,16.13,21.52,11.49,0.27,15.52,16.11,0.25,10.88,0.28,28.67,28.82,,22.0,Good
2020-05-24,Aizawl,13.4,19.09,11.38,0.09,15.1,15.75,0.19,11.19,0.68,16.38,16.57,,27.0,Good
2020-05-25,Aizawl,9.72,14.84,11.49,0.28,15.49,14.45,0.19,11.14,1.77,11.99,12.1,,20.0,Good
2020-05-26,Aizawl,9.03,13.23,11.57,0.42,15.65,12.13,0.22,11.09,2.5,0.04,0.26,,19.0,Good
2020-05-27,Aizawl,1.96,4.32,15.59,0.62,20.63,16.72,0.21,11.13,4.82,3.34,3.51,,21.0,Good
2020-05-28,Aizawl,3.47,9.67,11.6,0.35,15.67,19.71,0.24,11.89,2.67,0.38,4.02,,21.0,Good
2020-05-29,Aizawl,3.62,7.84,11.59,0.47,15.72,12.68,0.24,11.24,1.98,3.06,3.58,,20.0,Good
2020-05-30,Aizawl,3.43,7.24,11.61,0.21,15.46,12.93,0.22,11.38,0.24,30.73,31.04,,20.0,Good
2020-05-31,Aizawl,3.68,7.45,11.54,0.08,15.13,12.87,0.17,11.58,0.1,,,,19.0,Good
2020-06-01,Aizawl,4.52,9.11,12.06,0.59,15.89,12.84,0.22,11.83,3.37,14.32,14.63,,19.0,Good
2020-06-02,Aizawl,3.96,8.56,11.74,0.21,15.7,13.28,0.24,12.13,,,,,20.0,Good
2020-06-03,Aizawl,2.33,6.33,11.68,0.29,15.65,14.43,0.24,12.24,2.76,36.41,36.5,,20.0,Good
2020-06-04,Aizawl,2.17,4.57,11.64,0.22,15.57,16.06,0.19,12.61,2.8,3.74,4.0,,19.0,Good
2020-06-05,Aizawl,2.49,7.33,20.36,0.7,25.15,25.23,0.24,12.97,3.3,17.11,17.44,,31.0,Good
2020-06-06,Aizawl,2.81,6.19,11.75,0.15,15.62,18.88,0.21,12.82,,,,,20.0,Good
2020-06-07,Aizawl,5.2,,11.58,0.09,15.25,19.16,0.18,12.16,,,,,19.0,Good
2020-06-08,Aizawl,14.44,22.3,11.79,0.76,16.31,22.38,0.41,13.0,0.87,10.9,11.62,,25.0,Good
2020-06-09,Aizawl,10.08,13.04,11.62,0.13,15.49,24.75,0.33,13.48,,0.04,0.55,,23.0,Good
2020-06-10,Aizawl,1.54,2.79,11.77,0.1,15.52,21.4,0.22,13.44,,65.53,65.67,,19.0,Good
2020-06-11,Aizawl,,6.11,11.79,0.31,15.78,20.59,0.21,13.53,1.92,1.59,1.9,,19.0,
2020-06-12,Aizawl,0.99,8.1,11.67,0.25,15.53,21.22,0.2,11.92,3.6,0.03,0.33,,19.0,Good
2020-06-13,Aizawl,1.4,5.8,11.65,0.07,15.31,22.03,0.17,8.11,4.35,81.92,82.01,,19.0,Good
2020-06-14,Aizawl,0.98,4.59,11.63,0.07,15.17,24.59,0.16,8.82,3.77,,,,19.0,Good
2020-06-15,Aizawl,1.19,4.99,11.66,0.07,15.3,24.48,0.17,8.52,4.17,,,,19.0,Good
2020-06-16,Aizawl,1.14,6.19,11.83,0.37,15.85,20.36,0.17,8.62,4.86,12.62,12.86,,19.0,Good
2020-06-17,Aizawl,,1.99,13.01,0.33,15.57,19.46,0.16,5.65,4.5,35.02,35.09,,20.0,Good
2020-06-18,Aizawl,1.25,9.1,11.7,0.22,15.6,24.03,0.15,1.76,2.0,23.25,23.25,,20.0,Good
2020-06-19,Aizawl,5.92,19.02,11.74,0.26,15.74,36.73,0.2,2.84,1.58,13.67,13.94,,20.0,Good
2020-06-20,Aizawl,2.46,12.72,11.74,0.08,15.47,34.12,0.22,2.39,,0.04,0.25,,19.0,Good
2020-06-21,Aizawl,2.63,9.03,11.55,0.06,15.15,29.9,0.15,2.33,0.34,,,,19.0,Good
2020-06-22,Aizawl,2.88,13.68,11.74,0.32,15.79,29.98,0.16,1.91,1.79,12.27,12.38,,20.0,Good
2020-06-23,Aizawl,2.76,13.65,11.61,0.38,15.67,25.38,0.05,0.95,2.6,20.29,20.36,,20.0,Good
2020-06-24,Aizawl,8.62,32.1,11.57,0.14,15.41,25.57,0.07,1.08,1.84,17.08,17.17,,25.0,Good
2020-06-25,Aizawl,7.98,28.92,11.57,0.16,15.5,23.4,0.05,1.03,1.76,,,,33.0,Good
2020-06-26,Aizawl,1.39,7.21,11.8,0.18,15.71,22.46,0.03,1.24,1.08,,,,21.0,Good
2020-06-27,Aizawl,0.16,3.16,11.69,0.07,15.41,22.42,0.02,1.08,1.29,,,,19.0,Good
2020-06-28,Aizawl,0.24,1.15,11.56,0.05,15.14,25.45,0.02,1.38,1.4,,,,19.0,Good
2020-06-29,Aizawl,0.28,10.02,12.04,0.13,15.96,28.73,0.12,2.03,0.95,,,,20.0,Good
2020-06-30,Aizawl,1.89,9.27,11.91,0.1,15.75,28.68,0.11,2.23,1.16,,,,20.0,Good
2020-07-01,Aizawl,4.49,5.39,11.44,0.07,15.11,19.41,0.02,2.07,3.39,,,,20.0,Good
